,sentence,sentiment,tokens,sentiment_code
2683,Vuelo inaugural de Iberia será el primero de octubre https://t.co/ShpjLEcNPu,Positiva,vuelo inaugural iberio octubre,1
2684,Casi 9 años hace que grabé la Suite Iberia de Albéniz para @WarnerClassics @WarnerClassicES . Tras haberla tenido u… https://t.co/HiA7dEsF4R,Neutra,año grabe suite iberio albeniz warnerclassics warnerclassices haberla,0
2685,Comentario en ESCRIBE TUS RELATOS DE OCTUBRE (IV): CON UNA TRIPULACIÓN DE @Iberia Y @MairenMairenmu por Sergio…… https://t.co/1xPRpLd4s8,Neutra,comentario escribir relato octubre tripulacion iberio mairenmairenmu sergio,0
2686,20 Aniversario de @LG_ES en España. https://t.co/jCR7v2EUXI,Neutra,aniversario lg españa,0
2687,Nuevo frente abierto para Ryanair: el personal de tierra amenaza también con una huelga a final de año… https://t.co/buLkiwYFUJ,Negativa,frente abierto ryanair personal tierra amenazar huelgo año,-1
2688,Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/VKX9aW3KY9,Neutra,iberio plus cumplir año celebrar el especial elegir numero favorito,0
2689,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/KSe5lL3zUS",Positiva,iberio destino click deseadme suerte holacolombio hola destino europeo precio,1
2690,Norwegian lanza vuelos «low cost» desde Madrid a Estados Unidos para competir con Iberia https://t.co/2izhuEsYB0 vía,Neutra,norwegiar lanza vuelos low cost madrid unido competir iberiavia,0
2691,#Iberia y otras nueve compañías aéreas cancelan sus vuelos a #Turquía vía @hosteltur https://t.co/pdZKrrRZ38 Éxodo… https://t.co/ksqPKyXGXV,Neutra,iberio nueve compañia aereo cancelir vuelo turquio via hostelturexodo,0
2692,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/bM26ITZ4kL",Positiva,iberio destino click deseadme suerte holacolombio hola destino europeo precio,1
2693,@Iberia #HolaArgentina Muchas gracias x hacer este sorteo. Les deseo mucha suerte a todos y muchos éxitos a @Iberia,Positiva,iberio holaargentinar gracias sorteo desear suerte exito iberio,1
2694,"jaaaa, yo sé q es una poronga ryanair, pero bueh https://t.co/zgFWdLBVtD",Neutra,jaaaar poronga ryanair bueh,0
2695,"#Ryanair a pilotos #Italia : Si huelga, sanción. Vivan los derechos y eso... https://t.co/X6Iw9g0xZn",Negativa,ryanair piloto italio huelgo sancion vivar derecho,-1
2696,"¿ Hacer boicot con razones ?. Pues aquí un buen motivo, dan ASCO https://t.co/I68IcZs8Le",Negativa,boicot razon motivo asco,-1
2697,.@Iberia desde ayer no puedo comprar un asiento en mi vuelo que sale esta tarde y me tengo que conformar con el que… https://t.co/26C2aPkhfd,Negativa,iberio comprar asiento vuelo salir conformar,-1
2698,@Iberia hola! Podrían informarme el estado del vuelo de mañana a las 12 con destino Buenos Aires? Gracias,Neutra,iberio hola informar yo vuelo mañana destino aire gracias,0
2699,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/hI1Qc3XuWN",Negativa,accidente vuelo spanair letal españa decada video,-1
2700,#Pucela #AeroportdelPrat #Barcelona #Ryanair #Castilla en Aeropuerto… https://t.co/2Qa1OVSIv0,Neutra,pucela aeroportdelprat barcelona ryanair castilla aeropuerto,0
2701,@arcitecta @Iberia Tiene el móvil en modo avión.,Neutra,arcitecto iberio movil avion,0
2702,@ibexbolsa Debido a la compra de Niki por parte de British Airways e Iberia. Se creían que iban a terminar con el m… https://t.co/Uqcs9570bJ,Neutra,ibexbolso compra niki british airways iberio creer ir terminar,0
2703,@Iberia Gracias! !!! Tema solucionado @Iberia,Positiva,iberio gracias tema solucionado iberio,1
2704,@Iberia He pagado un billete de vuelta y no me ha llegado ni el número de reserva ni el número del billete ni nada.,Negativa,iberio pagado billete vuelta llegado numero reserva numero billete,-1
2705,@Grupo_Envera_ @PoderJudicialEs @justiciagob @AlfonsoCandon @Iberia Enhorabuena!!!,Negativa,grupoenvero poderjudicial justiciagob alfonsocandon iberio enhorabuena,-1
2706,"Ay, lo único bueno de volver a Madrid en año nuevo son los villancicos del hilo musical de @Iberia y lo reprecioso… https://t.co/KY05l72hhD",Positiva,unico volver madrid año villancico hilo musical iberio reprecioso,1
2707,@Iberia Hola. El vuelo IB7471 deja de prestar servicio? Busco para el 8-ene y ya no hay opción a esa hora. Gracias!,Neutra,iberio hola vuelo dejar prestar servicio buscar ene opcion hora gracias,0
2708,Iberia inaugura la rinnovata Velázquez Lounge al T4 di Madrid Barajas https://t.co/a0LZoHlHQI,Positiva,iberio inaugurar rinnovato velazquez lounge madrid baraja,1
2709,@Iberia Una cosa no tiene q ver con la otra sois responsables por NO Dimensionar Frecuencia y Capacidad de absorcio… https://t.co/QqpL4BlpM9,Negativa,iberio cosa responsable dimensionar frecuencia capacidad absorcio,-1
2710,Iberia Express celebra su aniversario con vuelos a 5 euros https://t.co/ki3eZIHvJ9 Te lo cuenta angelaGonzaloM en… https://t.co/iT4TNiMN0K,Neutra,iberio express celebrar aniversario vuelos euroste angelagonzalom,0
2711,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/yPY986DaKu",Positiva,iberio destino click deseadme suerte holaargentin hola destino europeo precio,1
2712,@Ryanair nos obliga a llevar la insulina de mi chico en bodega. Para llevarla encima tendría q haber pagado embarque prioritario. Es normal?,Neutra,ryanair obligar insulin chico bodega llevar el pagado embarque prioritario normal,0
2713,La página de Ryanair no me deja cambiar el vuelo y me va a dar un ataquito de ansiedad.,Negativa,pagina ryanair dejar cambiar vuelo ataquito ansiedad,-1
2714,Convocan huelga en el colectivo de tierra de Ryanair en España el 30 de diciembre. Noticias de Empresas https://t.co/Sq9sNCeOZ4,Negativa,convocar huelga colectivo tierro ryanair españo diciembre noticia empresa,-1
2715,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/7Sj6cskdso",Neutra,iberio destino click deseadme suerte holaargentin hola destino europeo precio,0
2716,"@LuisTejero @Iberia Gracias, Luis. Si te coincide y lo ves, espero que te guste. Abrazo!",Positiva,luistejero iberio gracias luis coincidir ver esperar gustar abrazo,1
2717,"@Iberia 14/12/17 Vuelo IB3170 Madrid-Londres. El mejor piloto con el que he volado en mi vida. Majo, salao y aterri… https://t.co/46K5qJ6R7x",Positiva,iberio vuelo madrid londr piloto volado vida majo salao aterri,1
2718,@quiz_viajero @fededinen Todavia no se si aprendio a buscar uno especifico. Sí sabe detectar hasta lo que sirven en… https://t.co/O92A7mxqh5,Negativa,quizviajero fededinar aprendio buscar especifico detectar servir,-1
2719,"@hydra_66 @ertiodelatiza Yo pillé en VLC uno con publicidad y me emocioné, Ryanair son todos tan iguales 😂 https://t.co/7rAhDXeGhg",Negativa,hydra ertiodelatizar pillar vlc publicidad emocionar ryanair igual,-1
2720,"Las mejores ofertas de empleo IT de España: Endesa, Mercadona y Ryanair: https://t.co/7kG3xKG4C9 (https://t.co/twyC38BAA3)",Positiva,mejor oferta españo endes mercadona ryanair,1
2721,@Iberia Me vendría bien como regalo para mis 69 años!!,Neutra,iberio venir regalo año,0
2722,@quiz_viajero 47 en Ryanair a Madrid https://t.co/yGhS9E6eB4,Neutra,quizviajero ryanair madrid,0
2723,@leos #TipicoDeNavidad @Iberia perdió mi maleta hace 5 días y no saben dónde está. Tengo medicamentos que no estoy… https://t.co/yN9Uv7m0zj,Negativa,leo tipicodenavidad iberio perder maleta medicamento,-1
2724,@Iberia ¿Quiere eso decir que mientras no se alcancen estáis separándola de su familia?,Negativa,iberio alcanzar separandolo familia,-1
2725,Iberia se asocia a FTEJerez para formar a los mejores pilotos del futuro  https://t.co/aTzxP8FgFY https://t.co/im6enfmUsh,Positiva,iberio asociar ftejerez  formar mejor piloto futuro,1
2726,@Iberia ¿es tiempo suficiente? ¿qué ocurre si el primer vuelo se atrasa y pierdo el que hace escala? ¿cómo vendéis… https://t.co/MZFPeU6Lij,Negativa,iberio suficiente ocurrir vuelo atrasar perder escala vendeis,-1
2727,gente hablando sobre catetismo porque ha cogido el avion tres veces para hacer un vuelo de hora y media  😑 https://t.co/HocMHgNtKy,Negativa,gente hablar catetismo cogido avion vuelo hora medio,-1
2728,@algoqrecordar @Iberia @PequenoGulliver @pekebikers @bebeamordor @bebeaventurero @MadridTB @MurZielaGa… https://t.co/Q3Kk4JArgk,Positiva,algoqrecordar iberia pequenogulliver pekebikers bebeamordor bebeaventurero madridtb murzielagar,1
2729,@Iberia Respuesta inútil @Iberia también miente sobre dónde está tu maleta y no cubre los gastos que realices. Llev… https://t.co/hKvanGQGsI,Negativa,iberio respuesta inutil iberio miente maleta cubrir gasto realices llev,-1
2730,@Iberia Gracias!,Positiva,iberio gracias,1
2731,"Yo hace poco viaje con iberia, cosas así no me pasan 💔 https://t.co/Lts7oQFjb0",Negativa,viaje iberio pasar,-1
2732,Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/9d6aNa94wl,Negativa,iberio plus cumplir año celebrar el especial elegir numero favorito,-1
2733,@dinkyviajeros @ElMundoOk @SeatGuru @emirates Jajaja yo para que voy a mirar los de @Ryanair #ViajesChat  (o similares 😂),Neutra,dinkyviajero elmundook seatguru emirates jajaja mirar ryanair viajeschat similar,0
2734,@Iberia recibido! mil gracias!,Positiva,iberio recibido mil gracia,1
2735,Años intentando conseguir el descuento de Iberia. AÑOS. https://t.co/1YEY7oZp5f,Negativa,año intentar descuento iberio año,-1
2736,"Parece todo preparado, o a lo mejor no. https://t.co/A4oBNYuhda",Neutra,preparado,0
2737,Al final hemos podido volar y acabamos de aterrizar en Bilbao. Pero esto no debería ser así... https://t.co/4eBfQ84GLl,Negativa,podido volar acar aterrizar bilbao deber,-1
2738,@Iberia Me dirías por favor que costo tiene?,Neutra,iberio diriar favor costo,0
2739,Buenas noches @Iberia por favor 3 pasajes a nombre de Juan Manuel Lillo y 2 más @nacionaloficial paga. GRACIAS,Negativa,noche iberio favor pasaje nombre juan manuel lillo nacionaloficial pagar gracias,-1
2740,Los sindicatos convocan una huelga en el colectivo de tierra de Ryanair en España a partir del 30 de diciembre… https://t.co/efu7wADDfZ,Negativa,sindicato convocar huelga colectivo tierro ryanair españo diciembre,-1
2741,@Iberia no contesta a las reclamaciones... cancela vuelos y los habilita... no informa a los clientes...,Negativa,iberio contesta reclamacion cancelar vuelo habilita informar cliente,-1
2742,@SamsungEspana @Iberia Me encanta 😊 muy buena iniciativa,Positiva,samsungespan iberio encantar iniciativo,1
2743,"@Iberia #HolaArgentina, que bueno este sorteo, que te da la posibilidad de viajar!!!",Neutra,iberio holaargentin sorteo posibilidad viajar,0
2744,Cual es el escándalo? Dejan una ruta para que salga más barata... https://t.co/fikUy9POjM,Neutra,escandalo dejar ruta salir barato,0
2745,@Iberia Gracias ♡☆,Neutra,iberio gracias,0
2746,"#Amazon ¡Chollo! Maleta Aerolite barata por sólo 37,99 euros ➡️ 37,99€ 🖥https://t.co/jnlYDYfDqw #chollo #oferta #ganga",Negativa,amazon chollo maleta aerolite barato euros chollo oferta ganga,-1
2747,Todos las veces igual..Da igual que sea Reyes..Navidad..Fin de año..nuestro cumpleaños..@Ryanair siempre tiene una… https://t.co/IzmCUaBCO4,Negativa,rey navidad año cumpleaños ryanair,-1
2748,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/vsWFdDOZOw",Positiva,iberio destino click deseadme suerte holaargentin hola destino europeo precio,1
2749,@controladores Lo ves en una peli de James Bond y te quejas de que se han flipado demasiado.  Ya veo a Ryanair cobr… https://t.co/zL47fJ7xmq,Negativa,controlador ver peli james bond queja flipado ver ryanair cobr,-1
2750,@Piratilladelai1 @ulivie Del precio del vuelo??? Hay muchas veces que Ryanair dobla el precio de otras aerolíneas (… https://t.co/Bx9dKB8HtJ,Negativa,piratilladelai ulivie precio vuelo ryanair doblir precio aerolinea,-1
2751,@mauriciomacri   ALGUIEN tiene 40mil puntos Aerolineas Plus que quiera venderme? TMB pueden ser 30 mil avios de Iberia.,Neutra,mauriciomacrialguien mil punto aerolinea plus querer vender yo tmb mil avio iberio,0
2752,"Abandono de una ex colonia africana donde se habla español, residen muchos españoles (negros, pero españoles tb) .… https://t.co/QIzNJin9l0",Negativa,abandono colonia africano español residir español negro español,-1
2753,@Iberia hoy viajaba a las 19:20 de Londes a Madrid y no puedo hacer check-in online. @Iberia me dice que es un vuel… https://t.co/wLqnznfQbH,Negativa,iberio viajar lond madrid check online iberio vuel,-1
2754,@Iberia Gracias. Si compro el billete en iberia pero lo opera Vueling? Sirve o no sirve mi tarjeta de iberia para el acceso prioritario?,Neutra,iberio gracias compro billete iberio operar vueling servir servir tarjeta iberio acceso prioritario,0
2755,"Que compañía dejaría una maleta en su bodega de alguien a quien le niegan volar por no retrasar un vuelo...
Iberia + Vueling...",Negativa,compañia dejar maleta bodego alguien negar volar retrasar vuelo iberio vueling,-1
2756,@IberiaPromos @Iberia Lo ideal es ofrecer vuelos económicos desde un principio y no hacerle perder tiempo a los ilusos clientes,Negativa,iberiapromos iberia ideal ofrecer vuelo economico principio hacer el perder iluso client,-1
2757,"@Iberia CC @SNRArgentina  Sres. Iberia Josefina c/retraso madurativo traslada por el periodo de viaje medicamentos,… https://t.co/L0ZEaHQNnq",Negativa,iberio snrargentinasres iberio josefin retraso madurativo trasladar periodo viaje medicamento,-1
2758,"@baselunarbeta @iberiaexpress @Iberia Gran avión el A350, por supuesto, pero si Lufthansa tiene el A380, entre otra… https://t.co/ku3VrNh8p6",Neutra,baselunarbeta iberiaexpress iberio avion lufthansa,0
2759,"El primer vuelo de mi vida en @Iberia !
https://t.co/6y7rET7DQw https://t.co/8Vhr8pLyCM",Positiva,vuelo vida iberio,1
2760,"Today news via Ryanair ofrece una subida de sueldo del 20% a los pilotos https://t.co/bGF7tNyt5V, see more https://t.co/o5IB1or1D1",Positiva,today news via ryanair ofrecer subida sueldo pilotossee more,1
2761,"@Iberia Madrid-Dakar 4 Noviembre. Avión sucio, tripulación desagradable, maletas que no llegan. Para cus di un cambio?",Negativa,iberio madrid dakar noviembre avion sucio tripulacion desagradable maleta llegar cus cambio,-1
2762,@ivan_cortina @Iberia Excelente trato que le dieron a la bici...,Negativa,ivancortin iberia excelente trato bici,-1
2763,Huelga en el Prat: los sindicatos de Iberia en Barcelona mantienen los paros desde el 21 al 24 de diciembre https://t.co/0ntJabiBCE,Neutra,huelga prat sindicato iberio barcelona mantener paro diciembre,0
2764,No los vi oponerse a la venta de VIASA ni a su quiebra por parte de IBERIA https://t.co/xcUWFX0rxn,Neutra,oponer el venta vias quiebra iberio,0
2765,@carlesvilaseca Como te lo pida Ryanair.....,Neutra,carlesvilaseco pedir ryanair,0
2766,@Iberia Buenos días! les envié un email solicitando ayuda con una reserva para un vuelo que sale mañana!! por favor… https://t.co/nsSe2y2KZC,Neutra,iberio enviar email solicitar ayuda reservo vuelo salir mañana favor,0
2767,"El proyecto de @Iberia #icon realizado con zapiens destacado el @Domestika 
https://t.co/BlLwmPYrD5

Pasen y vean! https://t.co/XKUP6Jt1sb",Positiva,proyecto iberio icon zapiens destacado domestika pasar vean,1
2768,Ryanair retrasa hasta el 15 enero su cambio en la política de equipaje de mano https://t.co/ifGItje8RT https://t.co/FYxezHUA3h,Neutra,ryanair retrasar enero cambio politico equipaje mano,0
2769,"Recuerdos de uno de los viajes que más me han marcado y me marcarán por siempre. Gracias Panamá. 
🛫 @Iberia 
✈️ A33… https://t.co/Vzr6T2ohhO",Positiva,recuerdo viaje marcado marcar gracias panama iberio,1
2770,"No solo en los periódicos encuentro a @JuanitoLibritos , comprando en Ryanair también lo veo como parte de una fami… https://t.co/sSEvHM3h7h",Neutra,periodico encuentro juanitolibrito comprar ryanair ver fami,0
2771,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/8mQw6kPDXY",Neutra,accidente vuelo spanair letal españa decada video,0
2772,@Iberia El personal del aeropuerto me dijo q no estaba en el espacio para efectuarla y tampoco encontré ventanilla… https://t.co/0O7sWGKLHn,Neutra,iberia personal aeropuerto espacio efectuar el encontrar ventanilla,0
2773,Iberia agrega frecuencias entre Buenos Aires y Madrid https://t.co/11ZIPsR6o8,Neutra,iberio agregar frecuencia air madrid,0
2774,@Ryanair hello hi.,Neutra,ryanair hello,0
2775,"@paconadal @Iberia Ni siquiera es trato ""low cost"", es abuso. Pero no es sólo @Iberia, @AirEuropa hace lo mismo. Y muchas otras. #Fail",Negativa,paconadal iberio siquiera tratar low cost abuso iberio aireuropo fail,-1
2776,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/eFB0NckM1Y",Neutra,iberio destino click deseadme suerte holaargentin hola destino europeo precio,0
2777,La exposición de Iberia sobre la aviación cierra con más de 10.000 asistentes https://t.co/kDsUmr3Mgs https://t.co/X3UUeuSrXf,Positiva,exposicion iberio aviacion cerrar asistente,1
2778,"@Ryanair_ES porque viajando comprendes otras culturas y lenguas, porque viajando se sueña, porque soñando:Ryanair.",Positiva,ryanair viajar comprend cultura lengua viajar soñar soñar ryanair,1
2779,@d3Mada @Ra_Maat Eso también lo dice mi tarjeta Iberia plus. 😂,Neutra,dmado ramaat tarjeta iberio plus,0
2780,"@PepeLECOLCG @Iberia Así es Pepe😉
Mis padres, emigrantes gallegos  en América y muy trabajadores, que pudieron dars… https://t.co/pO9vIWcdOX",Positiva,pepelecolcg iberio pepe padre emigrant gallegosen americo trabajador poder dars,1
2781,@Iberia @Iberia Me siento engañada. Compré tarifa “flexible” para poder hacer cambios sin restricciones en web. Al… https://t.co/4t6hOeNuE4,Negativa,iberio iberio sentir engañado comprar tarifa flexible cambio restriccion web,-1
2782,Goooooooool de COBRESAL! González pone el 2-0 sobre Iberia.,Negativa,goooooooool cobresal gonzalez poner iberia,-1
2783,"@Ryanair Ah, además como no iban a caber todas las maletas en los compartimentos de cabina, nos las mandaron a la b… https://t.co/4TNHQTj28t",Negativa,ryanair ir caber maleta compartimento cabin mandar,-1
2784,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/FE3U43Gzdj",Neutra,iberio destino click deseadme suerte holaargentin hola destino europeo precio,0
2785,Qué pasa con el error que cometió ayer Ryanair al cancelar el vuelo FR2635 y posteriormente ser reinstalado? Qué pa… https://t.co/ISQIGyGhZG,Negativa,pasar error cometer ryanair cancelar vuelo posteriormente reinstalado,-1
2786,@perezreverte ¿Podrías echarle una mano? ¡Gracias! https://t.co/87oGFH1YW2,Negativa,perezreverte podriar echar el mano gracias,-1
2787,Iberia aumentará frecuencias con Buenos Aires en un año y piensa en el Airbus 350 https://t.co/569RfKC8Ns,Neutra,iberio aumentar frecuencia air año pensar airbus,0
2788,Vaaaaya cola para facturar en Miami @iberia cosa mala.,Negativa,vaaaayar cola facturar miami iberio cosa malo,-1
2789,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/LYXhOAR5Z6",Negativa,iberio destino click deseadme suerte holacolombio hola destino europeo precio,-1
2790,"Retweeted EL PAÍS (@el_pais):

Ryanair lanza ofertas para volar a  destinos como Pisa, Bolonia o Marsella por 5€... https://t.co/WII9RBBpoH",Positiva,retweeted pais elpai ryanair lanzar oferta volar adestino pisar bolonia marsello,1
2791,@pazpena @Iberia Tristísimo. En marzo me habia pasado lo mismo ¯\_(ツ)_/¯,Negativa,pazpen iberia tristisimo marzo,-1
2792,@enmachuk @Iberia Mi avión salió a las nueve de la noche y llegué al hotel a las tres de la mañana porque no me que… https://t.co/FlCPyS6WyK,Negativa,enmachuk iberio avion salir nueve noche llegar hotel mañana,-1
2793,Querida @Iberia. Aparte de dar un trato pésimo en la facturación vuestra página web no admite en la sección de recl… https://t.co/f6vwz3xNN0,Negativa,querido iberio aparte tratar pesimo facturacion pagin web admitir seccion recl,-1
2794,"Un rey, tormentas y un aterrizaje de emergencia: así fue el primer vuelo de Iberia hace 90 años https://t.co/IJZbPZv0qX",Neutra,rey tormenta aterrizaje emergenciar vuelo iberio año,0
2795,@vueling @Iberia Muchas gracias.,Positiva,vueling iberio gracias,1
2796,#HolaEuropa me gustaria viajar con @Iberia y conocer nuevos destinos... https://t.co/atdmpIffiJ,Neutra,holaeuropo gustario viajar iberio destino,0
2797,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/WYORvdCAQS",Neutra,iberio destino click deseadme suerte holaargentin hola destino europeo precio,0
2798,"@Salud_Ec @Salud_CZ6 @tomebamba @mercurioec Baños del dispensario médico""Parque Iberia"".  Quién puede ayudar con es… https://t.co/rRimCODFE6",Negativa,saludec saludcz tomebambar mercurioec baño dispensario medico parque iberio ayudar,-1
2799,@jmanatol @ATRaircraft @AirNostrumLAM @Iberia @DonostiAir @controladores @Zurichspotter @arturoarmada11… https://t.co/rfkafd2qvi,Positiva,jmanatol atraircraft airnostrumlam iberio donostiair controlador zurichspotter arturoarmado,1
2800,@Grupo_Envera_ @palacioprensa @super8_media @Iberia @madridforo @eOneSpain @grupoidex @RJPalacio @owenwilson1 Inclu… https://t.co/lqywFeqfAq,Neutra,grupoenvero palacioprensa supermedia iberio madridforo eonespain grupoidex rjpalacio owenwilson inclu,0
2801,"Felicidades en el día de su 90 cumpleaños  @Iberia, con una foto de la pantalla del a330-200 Tokio en mi último vue… https://t.co/HgXKWgMDTc",Positiva,felicidad cumpleaños iberio foto pantallo tokio vue,1
2802,Ryanair se podía plantear embarcar por las alas (con lo que se ahorra en fingers y escaleras) https://t.co/lSh2F8cDnH,Negativa,ryanair poder plantear embarcar ala ahorrar finger escalera,-1
2803,"@MacRome13 A Madrid, con Iberia... y a buenos precios",Positiva,macrome madrid iberio precio,1
2804,@Ryanair En cambio cuando me toca ir con @Fly_Norwegian es lo mejor que hay.,Positiva,ryanair cambio tocar flynorwegiar,1
2805,"Un nuevo año más, junto con las felicitaciones navideñas llega mi exasperación ante el inoperante sistema de solici… https://t.co/oWQLDCSqLZ",Neutra,año felicitaciones navideño llegar exasperacion inoperante sistema solici,0
2806,Ryanair busca incorporar 200 nuevos Ingenieros https://t.co/oRoOXISvxo,Positiva,ryanair buscar incorporar ingeniero,1
2807,Me mandan mail de Ryanair con ofertas de vuelos en Europa. Es una señal?,Positiva,mandar mail ryanair oferta vuelo europo señal,1
2808,Así se bajó un pasajero de RyanAir harto de esperar para desembarcar https://t.co/63S4gwRA1B https://t.co/2nl0IYtDzE https://t.co/bkhry8gUWF,Neutra,bajar pasajero ryanair harto esperar desembarcar,0
2809,Un Note 8 para todos https://t.co/L0tYwY3sQD,Neutra,notar,0
2810,@herifrade @Iberia IAG (Iberia) gana 1.567 millones en 9 meses. https://t.co/Vcfq1A7vCY,Neutra,herifrade iberio iag iberio ganar millon mes,0
2811,"Iberia muta en Iberia Express y se covierte en una especie de Ryanair española.Lástima,con sus cosas no dejaba de ser aerolínea de 1ª.",Neutra,iberio mutar iberio express covierte especie ryanair español lastima dejar aerolinea,0
2812,@Iberia @Iberia Para qué fideliza clientes? De qué mierda te sirve una tarjeta de fidelización si nadie te ampara?… https://t.co/gp8G8HhK2s,Negativa,iberio iberio fidelizar cliente mierdo servir tarjeta fidelizacion amparar,-1
2813,Vendo tickets de Iberia para Cataluña,Neutra,vendo ticket iberio cataluño,0
2814,"AltavozCancun: RT Nacho_Extrem: Además de llevar más de 24 horas “tirados” en Cancún, la organización del embarque… https://t.co/Lts0mdKy4X",Negativa,altavozcancun nachoextrem tirado cancun organizacion embarcar,-1
2815,@Schuma78 @Societatcc Este hombre simplísimus no entienda nada! Decidir irse de España? Claro que puede decidirlo!… https://t.co/a3RUteNMvI,Neutra,schuma societatcc hombre simplisimus entender decidir ir el españa decidir el,0
2816,@FABIANFLOREZV @Iberia RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEE… https://t.co/qP5VAefL3L,Negativa,fabianflorezv iberio favor pasajero iberio demoro devolucion dinero jodamoslos retuitee,-1
2817,Hace 90 años Iberia unió Madrid y Barcelona por 163 pesetas. ¿Cuánto costaría hoy ese billete? -… https://t.co/9LCAEmJE8x,Neutra,año iberio unir madrid barcelona pesetas costar billete,0
2818,. @Iberia el telefono 901 111 342  no responde,Negativa,iberio telefono responder,-1
2819,#Iberia sortea la huelga en #Navidad: no habrá paros en El Prat en plena ‘operación salida’    https://t.co/3TvreSq1wM,Neutra,iberio sortea huelgo navidad paro prat pleno operacion salido,0
2820,El personal de tierra de Ryanair en España convoca huelga el próximo día 30 de diciembre https://t.co/ZOu39KF1ur,Negativa,personal tierro ryanair españo convocar huelga diciembre,-1
2821,"Descubre Shanghai, Vuelo Directo con Iberia, 5 días desde 963€ Tax Includ https://t.co/wS2L4Er42Q",Neutra,descubrir shanghai vuelo directo iberio tax includ,0
2822,Empezamos bien 2018. https://t.co/hX3TFjNKP0,Neutra,empezar,0
2823,@Lbaini @AgustinaLocke Por Iberia un pasaje a barcelona en julio/agosto (temporada alta allá) sale  19mil. Con lo q… https://t.co/poxFrvRNkV,Negativa,lbaini agustinalocke iberio pasaje barcelona julio agosto temporada alto alla salemil,-1
2824,Hola @Iberia estoy intentando hacer el checkin para un vuelo de esta tarde y no me deja. Y me estoy tensando.,Negativa,hola iberio intentar checkin vuelo dejar tensar,-1
2825,"@sergin80 @lanuevaespana @Iberia @irutze Claro, Sergio. Ahora toca que la prensa se dedique a dar por saco a la aer… https://t.co/r1OrZ9s3Rm",Negativa,sergin lanuevaespan iberio irutze sergio tocar prensa dedicar saco aer,-1
2826,@Iberia me parece una estafa. Necesito que me indiquen cómo hacer el reclamo,Negativa,iberio estafa necesitar indicar reclamo,-1
2827,@Iberia Al comprar un vuelo descubro que mis apellidos salen duplicados. Llamo para resolverlo y me dicen que debo 1) imprimir un pdf,Negativa,iberio comprar vuelo descubrir apellido salir duplicado llamar resolver el deber imprimir pdf,-1
2828,Iberia anuncia más vuelos entre España y Argentina para 2018 https://t.co/wUUF7EqqTO https://t.co/AMCAz6HcHc,Neutra,iberio anunciar vuelo españo argentino,0
2829,"@SectorMovilidad  dos agentes tránsito haciendo operativos en Iberia 20 en Bogotá, súper groseras mandando a comer… https://t.co/3QBl52HoH2",Negativa,sectormovilidaddo agente transito operativo iberio bogota super groseros mandar comer,-1
2830,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/mc1ICrZybk",Neutra,accidente vuelo spanair letal españa decada video,0
2831,📆A título de #efeméride: hoy hace 90 años que despegó por primera vez un avión de @Iberia ¡Gracias por tantas décadas haciéndonos volar! ✈️🌍,Negativa,titulo efemeridir año despegar avion iberio gracias tanto decada haciendo yo volar,-1
2832,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/eiPNIXaG7D",Positiva,iberio destino click deseadme suerte holacolombio hola destino europeo precio,1
2833,Ryanair lanza las ‘Tarjetas Regalo’ para empresas. https://t.co/Lv5KtDSmRK #AviacionAlDia https://t.co/Npib3ViLlb,Neutra,ryanair lanzar tarjeta regalo empresa aviacionaldio,0
