,sentence,sentiment
1074,"tu,yo y un viaje a grecia https://t.co/6SOkYcfw84",Positiva
1075,"Amigos, necesito con carácter de urgencia una bombona de oxígeno de 2 mil lbs (cargada). Sé que esto está súper complicado pero ya se va a acabar la que recargué ayer y no podemos desconectar a mi abuela. Cercano al Junquito, Paraíso, Vista Alegre o Montalbán. Se los agradezco 🙏",Negativa
1076,"Hasta ahora logré ver el episodio de drag race UK, estamos de acuerdo que Tayce fué la ganadora de ese performance? Que triste ver a Bimini con esa energía tan baja en la final y que chiva que ganara Lawrence 🥰
(Tia no pudo ni ponerse padding para ese look tan chiva ☹️)",Positiva
1077,",🤬🤬
✅ 53 millones de euros a la aerolínea chavista Plus Ultra con un avión y 350 empleados.

❌ 0 euros para autónomos, hosteleros y comerciantes.

Solo tendría sentido si es el avión que utilizará el Gobierno para huir a la Venezuela de Maduro.

https://t.co/HGi1HAkiwb",Negativa
1078,"sinceramente vaya temporada de mierda que llevo y que me espera, estoy triste y agobiada",Negativa
1079,"🛩️ ¿Cuál será la silueta que corresponde con el avión?
https://t.co/VZOjDz8s0F https://t.co/Rj6oFhIV35",Neutra
1080,"“Este es un reconocimiento que tiene que ver con la fuerza de todas las mujeres que han decidido hacer algo por parar la violencia”, ha explicado la periodista mexicana @ingerdbl, ganadora del Premio Rey de España por el podcast ‘Calladitas nunca más’. https://t.co/7uXmi6Lxjy",Neutra
1081,"Vacunados con AstraZeneca en España: un millón.
Fallecidos vacunados en España: 1
Pruebas de que sea por la vacuna: ninguna.
Los medios:  ¿SE DEBE SUSPENDER LA VACUNACIÓN? LO DEBATIREMOS TODA LA MAÑANA DE HOY, Y LA DE MAÑANA, Y LA DE PASADO.",Positiva
1082,Hablando de enjoy. Mi viejo se fue preso por injurias por decir que los Martínez se movían como gángsters. El tiempo hizo público ese hecho evidente.,Positiva
1083,"#Madrid 
CACHILA guapisima MIX #LapsaApso de 2años y 6 kg de peso
Fué rescatada de ""un mal lugar"" y ha restultado ser SUPER alegre,pizpireta,graciosa,juguetona y cariñosa
Muy sociable con peludetes y humanos
Necesita #AdopcionResponsable 
#adopta
📩facenuevavida@gmail.com https://t.co/EuG6lVS61h",Positiva
1084,"🌿🍀Feliz noche para tod@s🍀
#DaleUnParaoALaCovid19
#HitoBicentenario3millones500mil
@20Venceremos @20Mivzla @luchadora2021 @amelia74698445 @mercedeslouzaod @delvall06549286 @ch_cdg @yhoscarly @Yohander2911 @rafael_1981_198 @miindiarosi @cariodita020519 @Alexand13510754 @yasmi70",Positiva
1085,"‼️ DÍA DE PARTIDO ‼️

🆚 @adalcorconfsf 
⏰ 19:30 
🏟 Pabellón Vista Alegre (Burela)
📺 https://t.co/p9EMws94Kd 
🚪 Abonados mixtos y femeninos

📸 : @cjsportpictures 
Gráfica : @lmcortes14 

👟 @munichsports https://t.co/0U0XTOFBF8",Neutra
1086,"¿Cómo se ha pervertido todo para que las reclamaciones sociales (firmadas en un pacto) que UP hace sean ""exigencias"" y se ""enroque"" en ellas? O para que Cs se haya convertido en el malo de la película en Murcia... La verdad es que da miedo, caris.",Positiva
1087,"@SwingCompletoBB Tienen miedo q se les quede todo el equipo. Si traen al menos a la mitad que juegan fuera, solo se les quedaran la mitad. Eso pasa cuando no trabajas bien la Serie Nacional. Busquemos las causas de las decepciones y no mal juzguemos  a los que quieren mejorar profesionalmente.",Positiva
1088,"— ¿Qué tal, guapa?
— Estoy muy triste..Mi jefe me acaba de echar del trabajo ¿vienes a casa a consolarme?
— Lo siento. No me gustan las despedidas.",Negativa
1089,"Un poco de como se vive la vacunación en San Fernando, con alegria, con amor, con esperanza y sobre todo con mucho orgullo!
Gracias @Kicillofok por la gran campaña de vacunación que pusiste en marcha
Gracias @CFKArgentina @alferdez por las vacunas
#BuenosAiresVacunate @matimolle https://t.co/WRxypL98sR",Positiva
1090,"La encontraron viva hermano cuantas veces podemos decir esto es fuertisimo, q alegría POR DIOS",Neutra
1091,"Nunca, nunca nadie me provocó tanta alegría y tanto llanto a la vez @mauriciomacri https://t.co/mxIbh5UEG9",Positiva
1092,"Llegamos al destino, debo poner que la zona no era la mejor y la neta de noche si daba miedo le pagamos al conductor y le dimos la gran propina por ser buena onda https://t.co/oSdCP15gFr",Positiva
1093,"La mayoría de personas murieron en las oleadas de flujo piroclástico que durante la noche expulsó el cráter a más de 200 km/h y a 500ºC de temperatura, carbonizando en el acto lo que encontraba a su paso. #FluzoDesastres @HistoriaNG
https://t.co/xvT2wK8QvR",Negativa
1094,Simón descarta volver a la normalidad de antes https://t.co/Q8HNK7hRXz,Negativa
1095,Isidro con arnés de viaje es lo más adorable que vais a ver hoy. https://t.co/znF5BeFZA7,Positiva
1096,"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
1097,"Tienen:
-1 avión
-350 empleados
-0,03% de los vuelos operados en España

Pero la ministra de los ERES les regala 53ME de dinero público por “estratégica”

Razones:
-El 47% es de los amigos de Delcy
-Representante legal, Garzón

Grave escándalo q hace peligrar los fondos europeos",Neutra
1098,Vale y ahora el miedo creado a la población durante horas y horas de televisión con gente hablando de cosas de las que no tiene ni puta idea quien se lo quita ? https://t.co/cXdvpvZcYN,Negativa
1099,"No tiene porqué suprimir la pequeña propiedad, ya que por mucha acumulación que exista, siempre habrá. Por eso, aunque a muchos joseantonianos duela y sin ánimo alguno de ofender (Dios me libre), es más viable el ""ramirismo"". El propio capitalismo marca el camino.
FIN https://t.co/R8Ougf4A8k",Negativa
1100,"#bnha306 

yo: pero qué pas-

tw: 
DEKU ABANDONÓ LA UA 
DEJÓ UNA CARTA Y NADA MÁS 
SEGURO SE MURIÓ 
TENGO MIEDO
NOOOOO DEKU VILLANO 

yo también: 

https://t.co/0UlsCYkb5M",Neutra
1101,"@andizaurio @DiegoCofreRam @marcelaguinaga Ves, porque no aprueban el aborto voluntario. Porque tu mamá lee las estupideces que escribes y va a querer abortarte.
Si, Correa perdió en la consulta, pero a pesar de aquello ahora les tiene cagados de miedo al punto que tuvieron que unirse Lasso y Nebot; y ni así ganaron.",Negativa
1102,"Despertar contigo en las mañanas me emociona y me motiva.
Estoy persiguiendo mi sueño pero también tú eres mi sueño realidad.",Positiva
1103,"@Ikatari @ccarballo50 Cercanía sin mascarilla durante tiempo prolongado al aire libre (terrazas) -&gt;peligro
Exposición prolongada durante largo tiempo con mascarilla mal ajustada o de mala calidad en espacio cerrado (colegios)-&gt;peligro
Ídem sin mascarilla (Hostelería, casas) -&gt; mucho peligro",Negativa
1104,"Señor Ministro,el Poder Judicial no debe ser alcanzado por las amenazas e imposiciones del Ejecutivo, Jamás el #CJF debe rendir VASALLAJE  sea por miedo, intereses o presiones, a sujeto alguno, su independencia como uno de los poderes de la Unión debe defenderse con gallardía. https://t.co/1CimN9D4Yy",Positiva
1105,"MÚSICA Y LÁGRIMAS (1953)

Servicial biopic sobre la figura de Glenn Miller, que mezcla musical con melodrama y la siempre agradable presencia de James Stewart. Enérgico, alegre y colorido retrato del mundo jazzístico con cameos estelares. La música está por encima de la historia. https://t.co/BvjoEC3d6N",Positiva
1106,¿Cuándo va a entender Efraín Alegre que a el TAMPOCO lo queremos?,Negativa
1107,"Chumel Torres sí sigue muy triste después de perder su programa de HBO, ¿verdad? Era la joya de su corona de Burger King.",Neutra
1108,Qué ganas de agarrar un avión pa cualquier lado.,Positiva
1109,@hongsimpjoong Rie sin miedo y si preguntan decí que estabas estornudando,Positiva
1110,El canta mañanas de tony. Es que es taaaaan de primero de teatro  #LaIslaDeLasTentaciones11 https://t.co/2IomPBH2Vv,Neutra
1111,"@Carlosyayon 🇵🇷🙏☕HI. MUY TRISTE. ¡FELICIDADES PARA ELLOS! JAJAJAJA, CÓMICO EL VÍDEO. LINDO VIERNES SOCIAL Y MARAVILLOSO WEEKEND.  DLB.💋🥐💖",Neutra
1112,"NECESITAMOS #ACOGIDA RESPONSABLE PARA WOLF. POR ASUNTOS LEGALES AJENOS A NOSOTROS/AS, POR EL MOMENTO SOLAMENTE ACOGIDA A LA ESPERA DE INSTRUCCIONES PARA POSIBLE FUTURA ADOPCIÓN.
#VALENCIA.

WOLF, macho de 8/9 meses aproximadamente.
Tamaño mediano. 
Muy alegre, activo y... https://t.co/xwNhD2PMml",Positiva
1113,"Fondos destinados a ayudar a empresas estratégicas se dedican a salvar la “compañía aérea” de un chavista, compuesta por un avión.

Espero que nuestros socios europeos fuercen el establecimiento de todos los controles que el sanchismo elude y piensa seguir eludiendo.",Neutra
1114,"#DíaDoPai 
Non cambies por un día o que levas meses protexendo con tanta dedicación e agarimo. 
✅ Usa máscara 
✅ Prioriza os encontros ao aire libre 
✅ Respecta os aforos en locais e lugares de culto 
✅ As reunións de non conviventes en domicilios están prohibidas https://t.co/wxsfPJ5xsw",Positiva
1115,"Es el séptimo viaje que se realiza para traer las dosis al país 💉✈️
#COVID19  
https://t.co/yPhN1BSzWs",Positiva
1116,Isidro con arnés de viaje es lo más adorable que vais a ver hoy. https://t.co/znF5BeFZA7,Positiva
1117,"Sueño de una noche de verano
Gustavé Doré https://t.co/e4OyToaRZe",Neutra
1118,la manera en la q yo estoy triste de verdad https://t.co/a5qpS8jJVS,Negativa
1119,La justicia colombiana funciona tan pero tan mal que Uribe está libre aún contratando a los peores abogados de todo Colombia.,Negativa
1120,El Deportivo Córdoba inicia la segunda fase recibiendo en Vista Alegre 18:30 Horas al filial del Torreblanca https://t.co/7prJHag440,Positiva
1121,"Finca Cortesin Hotel Golf &amp; Spa, donde todos tus deseos serán atendidos 🤙📍
#España 😁 #Gastro #viajar
https://t.co/A4qvSpjnhF",Positiva
1122,"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
1123,"Lo del riesgo de morir por la vacuna vs por cualquier medicamento es como la inquietud al subirnos a un avión vs lo peligroso que es subirse a un coche. 

El miedo no es un cálculo racional. Está influido por
1) la presencia de noticias escandalosas
2) la costumbre https://t.co/N2AmUmlwEG",Negativa
1124,@ajplusespanol La gente tiene mucho tiempo libre,Positiva
1125,QIE MI LAVADORA LA PUEDO PROGRAMAR PARA QUE SE PONGA A FUNCIONAR POR LAS MAÑANAS SOY FELIZ #LaIslaDeLasTentaciones11 https://t.co/e2ryEOYS8j,Positiva
1126,"Me estoy poniendo triste porque no me sale ningún problema, llevo desde las 8 con ello, y solo quiero jugar al AC.",Negativa
1127,"@diariosevilla Si esa mujer era propensa a enfermedades cerebrales y está vacuna resulta que da fuertes dolores de cabeza, que se le rompa un vaso sanguíneo que le provoca la muerte es que SI tiene que ver con la muerte. Dejad de engañar. Astrazeneca da miedo #YoNoMeVacunoConAstrazeneca",Negativa
1128,"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
1129,"⠀⠀ 
──Claro que podemos. Pide lo que gustes, esta vez yo invito. 

Deslizó el menú por la mesa hasta que estuviese a visión cercana del muchacho. Él ya sabía que iba a pedir, pues frecuentaba aquel lugar. 

──¿Has estado bien durante estos días? Te veo alegre. https://t.co/swsDo0O2OB",Neutra
1130,Mi solidaridad total contigo @Graciela_Jimena . Recibo amenazas del mismo sujeto por el trabajo periodístico que hacemos desde DiloFuerte también. Los periodistas no deberíamos trabajar con miedo @PoliciaPeru https://t.co/BgYxGFAzxz https://t.co/HInjVEgCQG,Negativa
1131,"Estamos tan acostumbradas a recibir pésimas noticias cuando desparece una piba que tengo una mezcla de sorpresa, emoción y alegría tremenda. Maia apareció con vida.",Positiva
1132,saber ingles🤝usar el traductor por el miedo a errar,Positiva
1133,"Feliz cumple Costitaaa genia!!! @CostaOkis GRACIAS CHICOS/AS por acompañar mi viaje al jardín!!! Son lo maaaas!! Participo por los premios! 
#clubdelmoro @ClubDelMoro_OFC",Positiva
1134,Lula preso ! ✌🏻🇧🇷👊🏻,Neutra
1135,"Veronika Mendoza amenaza la libertad de prensa tal como lo hizo Fidel Castro , Chávez , Maduro y Correa . Un país libre es lo más valioso que uno pueda poseer . #TerronikaNoVa",Negativa
1136,"Boric hace un par de semanas ""descartó de plano"" en el programa Pauta Libre, ser candidato a presidente, por ser según, sus palabras ""no capacitado"" para tal tarea, así o más mentiroso.",Neutra
1137,"Que los turistas extranjeros puedan viajar a Mallorca y Canarias en Semana Santa pero los residentes en España no, da una idea clara de cuál es nuestra posición subordinada como zona de recreo en Europa.",Negativa
1138,"Lo del riesgo de morir por la vacuna vs por cualquier medicamento es como la inquietud al subirnos a un avión vs lo peligroso que es subirse a un coche. 

El miedo no es un cálculo racional. Está influido por
1) la presencia de noticias escandalosas
2) la costumbre https://t.co/N2AmUmlwEG",Negativa
1139,"No, está noche no mereces irte a dormir con miedo. Está noche mereces irte a dormir con fé, con el alma encendida y la conciencia en paz. Sabiendo que todo vuelve. Que das amor.",Positiva
1140,"Seguro que lo habría hecho, no lo dudaba, incluso a veces en los sueños se podía vislumbrar su rostro si no era cuidadosa. Eso o la había visto en cualquier biblioteca escondida tras una pila de libros.

— ¡Yo soy Sandy!

Tan confiada y alegre, le tendió la diestra.",Neutra
1141,"El Tte Cnel Ruperto Sánchez, #presopolítico, se encuentra en Ramo Verde. Es uno de los 320 #presospolíticos en #Venezuela. Cumplió su condena a pesar de ser inocente y lo mantienen arbitrariamente privado de libertad. Lleva casi 7 años preso. #LiberenARuperto https://t.co/nFgnEcdrgT",Negativa
1142,"Nuestro ultimo participante revelado esta noche.

Se juntaron los pibes! 
Estará el resto del imperio, verdad?... ver... verdad..?

Denle la bienvenida a @CrisGreen95 ! https://t.co/n36DwuPWn7",Neutra
1143,"que seas libre, y en tu libertad me elijas.",Positiva
1144,"🐶 4 añitos tiene nuestro pequeño Luck 🥰

Siempre está alegre y lleno de energía. Lo que más le gusta es pasarse el día jugando ⚽ y le encantaría poder hacerlo en su nueva casa, con su nueva #familia 👨‍👩‍👦

Accede a su ficha de #adopción aquí ➡ https://t.co/UrT7zS4NYs

#Consorcio https://t.co/wZind1tqM4",Positiva
1145,"Buen y alegre dia mundo azul, twitterlandia, #FelizViernes que sea un gran dia, como se puede ser feliz en medio de tanta injusticia en chile, la respuesta la tiene cada uno, pero queda prohivido llorar sin aprender.",Negativa
1146,"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
1147,"El problema de España son los youtubers que se instalan en Andorra y las infantas que se vacunan en Abu Dabi.
No regalar 53M a la chavista aerolínea con un solo avión Plus Ultra, representada por Baltasar Garzón.
Da miedo pensar cómo despilfarrará el Gobierno los fondos europeos.",Negativa
1148,"La Jurisdicción Especial para la Paz determinó que el antiguo Secretariado de las FARC-EP es responsable por los crímenes de guerra de toma de rehenes.

Con esto, el país comienza a reparar a las víctimas.

https://t.co/h7JG6pyNBk",Negativa
1149,"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
1150,"París y su región confinadas durante 4 semanas. Mientras, los franceses no paran de venir a España a hacer el cabra. ¡Monstruos @sanidadgob ! 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 Es que es de cárcel...",Negativa
1151,"La compañía con lazos chavistas rescatada por el sanchismo, la “estratégica” de un sólo avión Plus Ultra, fue la segunda aerolínea con más denuncias de pasajeros ante el Estado en 2019

Y mientras,tantos autónomos o empresas sin ayudas

Cada vez huele peor
https://t.co/k7EawOXBPv",Negativa
1152,"Que PAJA ponerte mal de la nada, porque vos decís ""estoy triste y no sé por qué"" y si sabés, pero son tantas cosas acumuladas que no sabes cómo expresarlas y eso te pone peor, hasta lo más mínimo que te hagan te dan ganas de llorar",Neutra
1153,"@PattaMendez En venezuela impera el reino del miedo. Si por un tweet han puesto@preso a más de uno. Imagínate. La población sobrevive en todo, por comida por servicios por todo . Hay un total hermetismo sobre dónde a quien y cuándo colocan la vacuna . Siempre la atención se desvía !",Neutra
1154,"@Xavigonzalez77 @bandoleranovel @CoronnaK @elmundoes Si, entiendo que se hayan rescatado empresas privadas españolas, bancos... Pero... Una aerolinea venezolana con un unico avion? Y nuestras pymes y parados desesperados? Pues no, eso no lo entiendo, iluminame por favor.",Positiva
1155,"Es el séptimo viaje que se realiza para traer las dosis al país 💉✈️
#COVID19  
https://t.co/yPhN1BSzWs",Positiva
1156,"Migrar no siempre es un viaje de huida, a veces es de llegada. Y otras muchas es por amor. ¿Y tú por qué migrarías?

https://t.co/0Np9yGWB5L",Positiva
1157,Isidro con arnés de viaje es lo más adorable que vais a ver hoy. https://t.co/znF5BeFZA7,Positiva
1158,Vale y ahora el miedo creado a la población durante horas y horas de televisión con gente hablando de cosas de las que no tiene ni puta idea quien se lo quita ? https://t.co/cXdvpvZcYN,Positiva
1159,"Desde ⁦@Cs_Europa⁩ hemos denunciado ante la ⁦@EU_Commission⁩ este “rescate”.

Plus Ultra: la aerolínea rescatada por ser ""estratégica"" sólo tiene un avión https://t.co/Jlhfu11PMB",Negativa
1160,Hoy hace un año se decretaba el ASPO para todos el país. Menos para la jefa que ese día viajó a Cuba y Tinelli a Esquel con su flia. y en avión privado. Yo NO me olvido,Neutra
1161,Un avión de @laserairlines fue alertado por los propios pasajeros de un bote de combustible.  Lo más asombroso es que los pasajeros debieron quedarse un buen rato dentro del avión bañado de gasolina hasta que Maiquetía le diera autorización de bajar. Todo mal . https://t.co/qKrCDFsoEh,Negativa
1162,"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
1163,Que miedo hacer algo por última vez y no saberlo y que miedo saber que es la última vez y no aprovecharlo 🎱,Negativa
1164,"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
1165,Isidro con arnés de viaje es lo más adorable que vais a ver hoy. https://t.co/znF5BeFZA7,Positiva
1166,"A veces me quejo de cosas que en verdad no son problemas, perdón a la vida por ser tan complicado y no ser mas alegre y agradecido. Buenos Días",Positiva
1167,¿Sabes? Te amo tanto que me da miedo volver a verte.💔🥺,Positiva
1168,"@PatriciaJMadrid Me parece fuera de lugar ese comentario, están separados y al aire libre; no te vi decir nada que ayer hizo 10 de la marcha del 8M y hubieron 836 infectados en Montevideo!!",Neutra
1169,"El Congreso aprueba por fin la Ley de #Eutanasia, tras muchos años de lucha de asociaciones como @derechoamorir. Hoy somos un país más decente y más libre. Los ultras de PP y VOX que hablan de libertad, por supuesto, han votado en contra.",Positiva
1170,"#MIRONEWS No ceda por miedo a un “me van a”, no lo harán solo usan el miedo. Somos muchos, somos legión, cada uno que resiste ayuda a todos. Incluso quien le presiona duda. Sea fuerte, sea valiente, todo pasará y se arrepentirá si cede. Aguante. Un aullido",Neutra
1171,"Alessandro Lequio, triste primer Día del Padre sin su hijo Álex: ""Te adoraba y te adora"", le escribe Ana Obregón junto a la foto que ha publicado recordando a su hijo https://t.co/UWotZXlBUE",Negativa
1172,"Deja de tener miedo a lo que puede salir mal, y mejor emociónate por todo lo que puede salir bien.",Positiva
1173,"Chicas: No tengan miedo de comunicar si se sienten en una situación de peligro en la calle. 

Hoy al final de la tarde, regresaba de hacer diligencias y decidí usar transporte público debido a que era una distancia corta, unos metros luego se montaron varias personas

Sigue...",Neutra
1174,"@_anapastor_ Os falto poner que su sede social es Panamá, por tanto no es ni Española la empresa. 
Otro tema es la situación antes de la Pandemia donde disponían de un único avión.
Esto es directamente para que anticorrupción entre aquí a investigar por supuesta malversación.",Negativa
1175,"Ryanair llevará el rescate de Plus Ultra al Tribunal General de la UE.

Considera discriminatoria la ayuda concedida a una aerolínea con un solo avión y la mitad del capital en manos de amigos de Maduro.

 https://t.co/6j79dK04wi",Negativa
1176,"La compañía con lazos chavistas rescatada por el sanchismo, la “estratégica” de un sólo avión Plus Ultra, fue la segunda aerolínea con más denuncias de pasajeros ante el Estado en 2019

Y mientras,tantos autónomos o empresas sin ayudas

Cada vez huele peor
https://t.co/k7EawOXBPv",Negativa
1177,"📢 En #RadioPaís, la periodista de @radionacionalsl 
 Ayelén Britos sostuvo que la estudiante “posiblemente se haya contagiado en San Luis y no en la provincia vecina”.  En la provincia hay un promedio de entre 70 y 80 casos de #coronavirus  por día.

https://t.co/KpXJcQUXkw",Negativa
1178,"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
1179,perdóname Dios por estar triste teniéndolo todo,Negativa
1180,#Ciencia 🤓 Tuvieron que construir el museo encima de la MOLE 🗿 al no ser posible moverla... ya que pesa 5 veces más de lo que hoy en día podemos levantar con nuestra grúa más poderosa... #ConCiencia 👁 https://t.co/NLFHAJc5fK,Negativa
1181,"La libertad de la España una, grande y libre con que Franco engañaba a los muertos de hambre https://t.co/79go31GZ4C",Neutra
1182,"La compañía con lazos chavistas rescatada por el sanchismo, la “estratégica” de un sólo avión Plus Ultra, fue la segunda aerolínea con más denuncias de pasajeros ante el Estado en 2019

Y mientras,tantos autónomos o empresas sin ayudas

Cada vez huele peor
https://t.co/k7EawOXBPv",Negativa
1183,"Amable recordatorio de que no respondan tuits sobre conatos de secuestros diciendo ""Yo me la paso ahí de lunes a jueves en las mañanas y vivo a 2 cuadras"". Hagan el favor.",Neutra
1184,"Fondos destinados a ayudar a empresas estratégicas se dedican a salvar la “compañía aérea” de un chavista, compuesta por un avión.

Espero que nuestros socios europeos fuercen el establecimiento de todos los controles que el sanchismo elude y piensa seguir eludiendo.",Neutra
1185,"Que alguien venga y me alegré la mañana , no pido otra cosa 😊🙏",Negativa
1186,Bueno ya es viernes. Es lo único importante y alegre. Solo falta que llueva todo el fin de semana y no podría pedir más,Positiva
1187,saber ingles🤝usar el traductor por el miedo a errar,Positiva
1188,"Ryanair llevará el rescate de Plus Ultra al Tribunal General de la UE.

Considera discriminatoria la ayuda concedida a una aerolínea con un solo avión y la mitad del capital en manos de amigos de Maduro.

 https://t.co/6j79dK04wi",Negativa
1189,"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Negativa
1190,No confío en la gente que no toma café por las mañanas.,Negativa
1191,"¿Por qué regalar un viaje a los que más quieres?😍

😉Es un momento de relax y una forma diferente de dar las GRACIAS. 

✈️Sólo tienes que elegir su destino preferido...¡Y disfrutar!

Feliz día del padre👨 https://t.co/HTAJZmRUYp",Positiva
1192,"El problema de España son los youtubers que se instalan en Andorra y las infantas que se vacunan en Abu Dabi.
No regalar 53M a la chavista aerolínea con un solo avión Plus Ultra, representada por Baltasar Garzón.
Da miedo pensar cómo despilfarrará el Gobierno los fondos europeos.",Negativa
1193,"En Entre Ríos, hombres con gorras de UATRE entran a un campo sin identificación ni motivo. La dueña pide que se vayan pero nada pasa.

Tener que discutir todos los días sobre la propiedad privada agota, genera miedo y desinversión.

Al sindicalismo violento hay que replantearlo.",Neutra
1194,"Que el mayor rescate empresarial aprobado por el Gobierno haya ido a parar con 53M€ a Plus Ultra, una aerolínea con sólo 1 avión relacionada con Maduro que representa el 0.03% de los vuelos en España, mientras no llegan las ayudas a millones de españoles arruinados, es tremendo.",Negativa
1195,@Pandora86c Que belleza!!!!,Neutra
1196,Desespero entre pasajeros en avión derramando combustible sucedió este jueves en horas de la mañana en un vuelo de la Aerolínea Laser que salia de Maiquetia hacia Cancún Mexico. https://t.co/5c8NG4DOkN,Negativa
1197,Isidro con arnés de viaje es lo más adorable que vais a ver hoy. https://t.co/znF5BeFZA7,Positiva
1198,Vale y ahora el miedo creado a la población durante horas y horas de televisión con gente hablando de cosas de las que no tiene ni puta idea quien se lo quita ? https://t.co/cXdvpvZcYN,Positiva
1199,Lo de los 53 millones a Plus Ultra cada día apesta más. Una empresa que tiene... ¿un avión? ¿En serio? ¿Eso es ser una 'compañía estratégica'? Es un escándalo en toda regla. Pero veo a muchos muy callados. No se ponen ni colorados.,Negativa
1200,"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
1201,"El Gobierno sigue sin poder explicar el polémico rescate a Plus Ultra Líneas Aéreas, de un solo avión, que ha recibido una ayuda de la Sepi de 53 millones y que se ha convertido en la beneficiaria del mayor rescate estatal de la pandemia. Rarísimo por no decir  muy sospechoso. https://t.co/nFHY7E9Nzf",Negativa
1202,"Digamos la verdad 
El avión de aerolíneas llega a Rusia ..abre la bodega y no saben cuántas dosis le van a dar 
Va de linyera a rogar vacunas",Negativa
1203,"Hoy volví a la Tevé me crucé con gente querida a la que sigo en sus trabajos periodísticos, los abrace fuerte y se los dije.
Hoy volví y hubo gente que me recibió con una sonrisa alegre.
Fue momento bonito antes de entrar al estudio para la columna plebeya.",Positiva
1204,"... ""Se trata de una organización que trae desde Bolivia la cocaína por avión. En una pista de Carmelo Peralta, hacían trasbordo para luego avanzar por tierra hacia Concepción, de ahí a Amambay y luego a Brasil"". Francisco Ayala. @senad_paraguay - @1330am",Neutra
1205,"Nuestro ultimo participante revelado esta noche.

Se juntaron los pibes! 
Estará el resto del imperio, verdad?... ver... verdad..?

Denle la bienvenida a @CrisGreen95 ! https://t.co/n36DwuPWn7",Positiva
1206,"Gerardo Carrero dirigente juvenil que estuvo preso casi 3 años en el SEBIN, fue sacado de su residencia en Maracay donde vive con su esposa @AndreinaBaduel por una comisión mixta del FAES y DGCIM. Alertamos por su integridad física. #LiberenAGerardoCarrero https://t.co/l9opEgDqfu",Neutra
1207,El Presi debe darle todo el poder a la FUPU y también al PLD total aquí nadie más caerá preso. Pan y circo.,Neutra
1208,Mi espejo por las mañanas #LaIslaDeLasTentaciones11 https://t.co/ijMGY10nGz,Neutra
1209,"@f_roberto1 @AdriRM33 No tengas miedo Felix, CR7 va a seguir siendo el mejor delantero posible hasta los 40 años. Al margen de que su llegada no implica que no vengan Haaland o Mbappé. Al contrario, el tiempo juega a nuestro favor si la necesidad de goleadores es menor.",Neutra
1210,"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
1211,"ALUCINEN⬇️

La Aerolinea Chavista PLUS ULTRA rescatada con 53 millones€ por el Gobierno de Sanchez y que aún HOY, Nadia Calviño, Ministra de Econlmia sostiene que es ""ESTRATEGICA"", solo tiene UN (""1"") AVIÓN. https://t.co/PfBO9S7z4L",Negativa
1212,@QueenSacrier pues mira la única ventaja que tengo al no conocer gente nueva es que al no ilusionarme tampoco tengo miedo de nada,Neutra
1213,Vale y ahora el miedo creado a la población durante horas y horas de televisión con gente hablando de cosas de las que no tiene ni puta idea quien se lo quita ? https://t.co/cXdvpvZcYN,Positiva
