sentence,vote
"@alanlany Al escucharlo, hizo un puchero más grande e intentó de nuevo no reírse. 

- Ño...ahora no te perdono yo - Más que triste, su tono era infantil. - Toy triste - Volvió a girarse y lo miró haciendo un puchero y poniendo cara triste. 

""TE VAS A REÍR QUE NO TE VEA""",Neutra
"Comisión Especial para el Diálogo, la Paz y la Reconciliación Nacional de la AN recoge propuestas de todos los sectores que contribuyen a la construcción del futuro de la Patria

#HitoBicentenario3millones500mil 
#DaleUnParaoALaCovid19

https://t.co/7ua7ZkwmM3 https://t.co/A83LTbTNGn",Positiva
"No me llegan ni a la tripa😂, los mando a volar y agarro a uno por los pies, me pongo a dar vueltas y duro hasta  que me canse https://t.co/G0VhBOxbFi",Neutra
Que triste es sorprendernos de que Maia apareció viva...,Neutra
"Captura de mi defendido Mayor Meneses por orden de Fiscalia, es persecucion política y juridica. Nuevo torpedo contra JEP. Gobierno, del que hace parte Fiscalia, desconoce competencia de la jurisdiccion especial.",Neutra
"Parece ficción pero es real: en la causa Hotesur armada por Stolbizer, Bonadio y compañía le habían imputado a CFK gastos por $16 millones que en realidad eran de un estudio contable de Entre Ríos. A los contadores los procesaron. Bonadio se caga de risa desde el infierno. https://t.co/T1200zoM2A",Neutra
"Di positivo a #COVID19 Espero no tener que ausentarme por un tiempo. 

Sus oraciones por favor! 🙏😞",Negativa
a veces me pongo a pensar en todos los temazos que han salido y que no hemos podido perrear en discotecas y me pongo triste,Neutra
"Tomasa es turbo hermosa y alegre!! 🐶💞 Le emociona mucho el pertenecer a tu familia y llenarte de cariño; que no te asuste el éxito, deja que entre a tu vida y tengan momentos increíbles y divertidos!! 🥰
@PurinaMX
#AdopciónResponsable #AdoptaNoCompres #Adopta #Metepec https://t.co/Qg3RL5aXtb",Positiva
Vamos a jugar un poco  https://t.co/iTsUZERsgT,Neutra
"#MIRONEWS El Prof John Magufuli, Graduado en Ciencias, Químico y Matemático apodado El Bulldozer por su lucha contra la corrupción era presidente de Tanzania y “ha muerto”; denunció a Tedros Adhanom porque lo conocía bien. Un día triste para la justicia en el Mundo. Un aullido https://t.co/usk98DMB3S",Negativa
encuentro mucho más cómodo jugar con el control pero se modifica la pantalla y se ve todo más chico grrr,Neutra
"Tomasa es turbo hermosa y alegre!! 🐶💞 Le emociona mucho el pertenecer a tu familia y llenarte de cariño; que no te asuste el éxito, deja que entre a tu vida y tengan momentos increíbles y divertidos!! 🥰
@PurinaMX
#AdopciónResponsable #AdoptaNoCompres #Adopta #Metepec https://t.co/Qg3RL5aXtb",Positiva
Un operativo de Gendarmería detectó $1.400.000 en una camioneta con militantes del Movimiento Evita https://t.co/63zAf36UL2,Neutra
"Buenas. ☁️
Espero estés teniendo un buen día, si no es así tengo la esperanza de que mejorará. Recuerda que la tormenta es algo pasajero.

Me encantaría que te alegre el día esta hermosa foto de un arcoíris cuádruple. 🌈🌈🌈🌈 https://t.co/vn6fNokyen",Positiva
"Hoy el Perú está de luto. Un gran ser humano ha partido al encuentro con Jesús. Luis Bedoya Reyes, un hombre decente que, con su gran ejemplo de vida, hizo docencia de cómo debe hacerse política limpia en nuestro país. https://t.co/B8kJHjnBSQ",Negativa
@ZackSnyder me quito el sombrero🔥🔥🔥🔥... ninguna película de superhéroes le llega ni a los talones a esta joya! @snydercut  10/10 gracias!!!!!😭😭😭#RestoreTheSnyderVerse,Neutra
@OutfitACNH Ah. Seguramente Carlos se enfadó y lió una gran bronca y como ayer lo metieron en la cárcel el programa ha editado esa parte para que no se vea.,Neutra
"DANIEL GALOTO, PRESENTA... ""#RAPHAEL INFINITO"": PREMIADO EN #ANDALUCÍA, ""#ODEÓN"" Y ""ALEGRÍA DE VIVIR, ETER"", #ESPAÑA. ¡IMPERDIBLE! . / EL INSUPERABLE @RAPHAELartista ... https://t.co/MxQoJD7xMr -",Neutra
"@NriaCapdevilaS1 @transit Entiendo que haya gente que no comparta mi opinión de enfado, pero no entiendo que un tío inicie un diálogo donde que puso palabras que no había dicho. Y tú lo remataste con tu comentario de mala persona. Mi hermano trabaja 12 horas en una empresa esencial, no por amor al arte",Negativa
"@AujuzietesD @akabicha @47spliffkilla Ohhhh, parece que como no pienso como el se ha enfadado, te ofrezco mi hombro para llorar",Negativa
"SEGUIMOS APOYANDO CON ALEGRÍA 
👇👇
🥈#HitoBicentenario3millones500mil 
👆👆 
🥇#DaleUnParaoALaCovid19 @NicolasMaduro @Mippcivzla @perla_reyes2 @4Frevolucion2 @ItaloPsuv @c1_francis @2mmarqez @miriamc207931 @teracandaga @Parrita67268373 @mcyl2016 @EstrellaDeOshun @HenryVera_702",Neutra
Vivo con miedo de salir en un video de Ricardo Anaya y que todos se den cuenta de mi pobreza 😪,Neutra
"La encontraron viva hermano cuantas veces podemos decir esto es fuertisimo, q alegría POR DIOS",Positiva
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
"Si tienes adultos mayores en el hogar, apaga los matinales, son una dolorosa mezcla de sensacionalismo, amplificación del miedo, choque de políticos obsoletos y anacrónicos. De una irresponsabilidad editorial infinita",Neutra
"@soy_502 Que bueno que se fue habemos muchas que no podemos tomar esa decisión, después la sociedad está como está, por tantas madres abusadas y por miedo se quedan..",Negativa
"Les comento que la vacuna me la aplicaron a las 8:30 am.
Son las 2:25 am del día siguiente y estoy hecho pelota, fiebre, dolores musculares y una cefalea retroocular que me quiero arrancar los ojos y que no calma con nada.

La putin que los parió. https://t.co/j6pVHOox9Y",Negativa
todas las mañanas le mando a nano una foto de buenos días y cuando se me hace tarde se enoja conmigo jajasjs amo&lt;3,Neutra
Le perdí el miedo a los abismos el mismo día en que conocí tus ojos.,Positiva
Este gato tiene la misma cara que yo cuando me levanto por las mañanas https://t.co/AMLgqqcwWL,Positiva
"Cómo la alegría que trae un buen café, cargado de muchas historias y aromas, así estoy hoy al ver que de nuevo está activa mí cuenta.
#Happyday #SiguemeYTeSigo
#SigamonosLosBuenos2020 #Matarife #Folloback #Followme 
#SabadoDetremuraSDV ifb SDV
 https://t.co/2Vcy8caozl",Positiva
"En las aulas de esos 80 y 90 que otros idealizan nadie me dijo lo que el adolescente gay que fui habría necesitado oír. Hoy, en esas mismas aulas, hay muchos/as/es adolescentes LGTBI que sí escuchan esas palabras. Y que, gracias a ellas, crecen sin el miedo que otros recordamos.",Positiva
"Mis versos lloran
para volar contigo
y ser soñados

#senryu  #lyf15 #LetrasyLatidos 
#poesía #versos https://t.co/ULBu45iHtk",Positiva
"La descripción del peronismo como la fuerza del status quo, nunca cambiar nada, porque no quieren ganar ni perder nada. Lo mejor. #PrimerTiempo",Neutra
"@ghitis Y no va a pasar nada pues la alcaldesa de Cali tiene enmermelados a todos los entes de control. Y si es un hijo de la rata mayor, pues ahí sí que menos va a pasar. Les apuesto.",Neutra
"#DaleUnParaoALaCovid19
#HitoBicentenario3millones500mil
Feliz Noche 🌎💚🍀
@20Mivzla @20Venceremos @2021Luchadora @edelyisa @jdmendezr71 @mine_2133 @miriamrojas0301 @Cristin41257008 @nanunsc2 @hectorveterano @NegraNex @NavedaMarrero @Nanyvel2 @RRBA2032 @ch_cdg @mozkovo @mcyl2016",Neutra
me da miedo lo normalizado que tengo mi dolor,Negativa
Viajar y tomar fotos de atardeceres: https://t.co/InvUZNOwKk,Positiva
yo por las mañanas replanteándome mi existencia: #LaIslaDeLasTentaciones11 https://t.co/ob0y62PT7m,Positiva
"@astroblema @guiyerbamate Como que no tenga miedo?? Un tipo que no conoce le está diciendo que la esta viendo desde la calle mientras se masturba, obvio que va a tener miedo, parece mentira que estas cosas sigan pasando en el 2021",Negativa
"Que no te de pena nada!, pa’lante es pa’ allá y sonrisa siempre por delante! https://t.co/IqxOI5HVj6",Positiva
pues a mi me dan miedo https://t.co/FPfOA7osFZ,Neutra
"me despierto con la hermosa noticia de que apareció maia y en buen estado de salud, no estamos acostumbrados a que este tipo de situaciones tengan un final feliz, que sorpresa y alegria 🙏🏻",Positiva
"Me tienen absolutamente repodrido mis ""colegas"" que después de meses de meter miedo diariamente con su mensaje solemne y tono mortuorio ""comentando"" el parte diario de casos de COVID, están retomando este recurso, siendo parte de una campaña que pocos, o nadie, tienen en cuenta.",Neutra
"Que Carlos se ha enfadado porque Lola estaba bailando con otro? Que Carlos es gilipollas? No me lo podía esperar. 

#LaIslaDeLasTentaciones11",Neutra
"Que Carlos se ha enfadado porque Lola estaba bailando con otro? Que Carlos es gilipollas? No me lo podía esperar. 

#LaIslaDeLasTentaciones11",Negativa
"@gusenliba @maybelcap @mapf_29 Cual es el miedo viejo???, ellas lo maximo que haran es darte block!!!, mas NADA!!!!!!, te tiren el perrote mas arrecho!!  Aja y????, 🙄🙄🙄🙄🙄🙄🙄🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭",Neutra
Buenas Tardes Tuiteros Impulsemos con Alegría ntra2⃣Et #HitoBicentenario3millones500mil @yhoscarly @Jonatha718  @luiscarrillo66 @mercedeslouzaod @nestorevolucion @Yilva3 @elioseq14 @Biristay1980 @Aijuna6 @amelia74698445 @Edinsonvh @coromoto0129 @GusMV6 @LaRevol92534227 @VaneCuchs,Negativa
"Quebraron Pemex-nadie dijo nada
Quebraron CFE-nadie dijo nada
Endeudaron al país-nadie dijo nada 
Saquearon arcas-nadie dijo nada
Hicieron de la pobreza modelo perfecto para quedarse 
en el poder-nadie dijo nada  

Por fin llega alguien a transformar-
ahora si todos dicen algo🤥",Positiva
"#18marzo #HitoBicentenario3millones500mil
Feliz noche mis tuiteros 🙏😷😃💕💪@16Yeritza @NicolasMaduro @Mippcivzla @aventuraaa_84 @amelia74698445 @ruso_yo @CarnetDLaPatria @tuiterapsuv @Alexand13510754 @yasmi70 @WilsonS43452196 @Twiteros_Maduro @lrrc2020 @ATwuitero @Maria14287934",Negativa
"@ArtanisD Si así es, pero no doy nunca con una película suya.
Alguna pista ? . . .",Neutra
@mamachita80 @M4J0medicen @MarianneFreitez @hilmuj @erikadelvolga @3mSsantos @gigigrillo23 @aurita29 @raulrivas05_1 @Williamgraffr @maycorito @salomonsal @galanmagabeth @flaviogerdel @Mariatdss20061 @deluxfutbol @Gato177 @AnglicaAMAR1 Esa es la actitud mí Sara bella! Feliz noche!👍🏻🙏🏻🇻🇪🌺🌜🤗🤗🤗😘😘😘😘,Neutra
"Amable recordatorio de que no respondan tuits sobre conatos de secuestros diciendo ""Yo me la paso ahí de lunes a jueves en las mañanas y vivo a 2 cuadras"". Hagan el favor.",Neutra
"Quebraron Pemex-nadie dijo nada
Quebraron CFE-nadie dijo nada
Endeudaron al país-nadie dijo nada 
Saquearon arcas-nadie dijo nada
Hicieron de la pobreza modelo perfecto para quedarse 
en el poder-nadie dijo nada  

Por fin llega alguien a transformar-
ahora si todos dicen algo🤥",Negativa
"Hoy a las 10 de la noche, los espero con la Clau Ormeño! No se lo pierdan
Vote #graciapellegriniconcejal
#RecuperemosChile #paz #concejal2021 #lobarnechea #lobarnecheaemprende

https://t.co/0jsmQ16qF6 https://t.co/t2GCZwMOkP",Neutra
El Verde dice presente en el Atanasio. 🇳🇬 ¡Noche de @CONMEBOL @Libertadores! 🏆 #VamosTodosJuntos https://t.co/2FB6NH4oS7,Neutra
"Después de meses de movilización ciudadana en reclamo de dchos básicos la única respuesta del oficialismo son las descalificaciones y agravios. No aprendieron nada. Los formoseños queremos trabajo, educación, circular con libertad, un trato digno. Lo vamos a conseguir. https://t.co/tO5PcO8tva",Negativa
"PERDER EL APETITO POR ESTAR TRISTE ES EL PEOR SENTIMIENTO DE TODOS, TENGO PRUEBAS Y CERO DUDAS",Negativa
"Yo no sé  porque mis clases no puede ser en las mañanas, como de todos los demás 🤦‍♀️",Positiva
"Tengo miedo de verte
necesidad de verte
esperanza de verte
desazones de verte. 
Tengo urgencia de oírte
alegría de oírte
buena suerte de oírte
y temores de oírte. 
O sea
resumiendo
estoy jodido
y radiante
quizás más lo primero
que lo segundo.
Benedetti

Good Mewning #MewSuppasit https://t.co/5jzEfPSiAE",Neutra
"Últimamente me da mucha flojera todo, entrar a clases, contestar mensajes, levantarme por las mañanas, ir a comer, creo que me estoy apagando.",Neutra
Necesito alguien que me haga un cafecito por las mañanas,Positiva
"Cuando sales enfadado y se te engancha la manga en el picaporte, pero en futbol 🤣👇 https://t.co/X13qgfJo5I",Neutra
"#18Mar 🇻🇪📢 ¡ APOYEMOS CON MUCHO ENTUSIASMO Y ALEGRIA LAS  ETIQUETAS DEL DÍA! ▶️ 

1️⃣ #HitoBicentenario3millones500mil

2️⃣ #DaleUnParaoALaCovid19",Neutra
#HitoBicentenario3millones500mil Feliz noche🐳@kyaldazoro @elpolokiwi @KatherineAyares @gloriamaria057 @Dannaprincesa1 @ygil101261 @gesan87_87_88 @cariodita020519 @BoYraida @marjori067 @will6942 @magacecilia @JoseLuisReina19 @BELEN267248505 @SoniaDelva04 @CARMENP51891863 @SRPSBSJ,Neutra
cógeme por dios cógeme de la mano para que caminemos juntos y nos llenemos de mimitos y llore de lo hermosa que estás total serán lágrimas de alegría por el amor y también del aprecio que te tengo al ser alguien tan hermosa por dentro y fuera jamás me cansaría de admirarte.,Positiva
"Vox enfadado porque hay democracia, quien lo iba a decir https://t.co/ZSi2wdtoXS",Positiva
"Vieron que está esa historieta de que Alejandro Magno le dijo a Diógenes pedime lo que quieras y Diógenes le dijo correte que me tapas el sol, bueno yo a Maradona lo extraño porque era eso, un tipo que teniéndolo nos elegía, elegía la alegría de ser argentino",Negativa
Necesito alguien que me haga un cafecito por las mañanas,Positiva
Hoy es un día de Greys pero triste porque despedimos a Andrew Deluca 💔 https://t.co/PqBilkQbaF,Negativa
"Agradecidos con Gustavo Coronel y los 345 participantes que se registraron en la Edición No. 196 vía WhatsApp #ForoChat ”Fábrica de Ciudadanos”.

Mañana viernes #19Marzo a partir de las 5pm continuaremos con las respuestas a sus preguntas.

Feliz noche para todos! https://t.co/GyWeqOO2zT",Negativa
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Negativa
"Que rico besarme debo saber a depresión, inseguridad y miedo",Negativa
"Me juego las bolas que en el libro que le escribieron al mamerto no habla de las deuda que nos dejó a los argentinos x 100 años y de los negocios que hizo desde la Casa Rosada con sus grandes amigos...
Nada, eso.

#NoSabeLeerYSacaUnLibro",Neutra
me doy cuenta de todo pero prefiero no decir nada,Neutra
"@Gagliardinista erol es @flaco1899, es turco-colombiano, inhala cocaína por las mañanas y almuerza kebab.",Negativa
"#HitoHistórico | |  La #GMVV, sigue regalando #Bienestar y #Alegría a un pueblo que no se rinde,  en aras de seguir construyendo más #ViviendasDignas en tiempos de pandemia. #HitoBicentenario3millones500mil 
@Minhvi_Oficial
@IMVillarroel1
@NicolasMaduro https://t.co/cU2Qp89c2c",Positiva
"Lo conté en mi cuenta suspendida, va otra vez:
La menor de mis hijas empezó a escolarizarse a los 3 años (de tener la máquina del tiempo no lo haría). 
De la nada empezó a sufrir de terrores nocturnos, no hubo noche en que no se despertara llorando desconsolada.",Negativa
los chicos que acompañan a las chicas a casa de noche voluntariamente sin quejarse aunque les quede lejos son los verdaderos HOMBRES,Positiva
Dice mi madre que si llevo un jersey de Pikachu enfadado https://t.co/anlkZ1gxSu,Neutra
"Hoy ha tenido lugar el tercer día del Quinario al Cristo de la Fundación de la Hdad de los Negritos. Por las mañanas se celebra veneración en sustitución a su tradicional Besapiés. #tdscofrade #losNegritos #HdaddelosNegritos
@Hdadlosnegritos https://t.co/6clUncHsXm",Positiva
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Negativa
Esta súper enfadado. A mi me la pela todo. Pero mi hijo y mi familia no. Por ahí se están oyendo cosas muy raras y feas muy feotas pero... Kien os krees. Y a mis amigos ni tokar porke todos kuando nos tokan lo nuestro... En fin saludos a PELEX K le kereis mucho. Pero no ganara,Negativa
Hundimiento veloz del adefesio que se inventaron para cancelar elecciones del próximo año. Reacción ciudadana ejemplar y contundente. Pero ojo. Insistirán en alterar calendario electoral y cambiar reglas de juego. Tienen miedo.,Positiva
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Negativa
"Nuestro ultimo participante revelado esta noche.

Se juntaron los pibes! 
Estará el resto del imperio, verdad?... ver... verdad..?

Denle la bienvenida a @CrisGreen95 ! https://t.co/n36DwuPWn7",Positiva
"@antovicente1 Quiera Dios que la Junta directiva aún tenga algo de honorabilidad, honestidad y valores de los que permitieron al banco y sus empleados  sentirse olgullosos de pertenecen a la familia BOD  y dejen el miedo para exigir a Víctor Vargas inicie la devolucion de los ahorros",Neutra
"La vida tendría que venír con un manual que diga señora no de tanto sin esperar nada a cambio en algún momento se te va a caer una fichita.
Al final es toda una misión esto de vivir.",Neutra
"En lugar de andar pegándole a la mamada esa tal reimers, debería de estar limpiando mi casa que mas noche tengo reunión",Neutra
"🎙️| Pedri: “El primer día que vi a Leo Messi me impresionó, no me lo creía. Jugar con Messi es fácil porque cuando le das el balón sabes que van a pasar cosas. Espero poder seguir jugando con él durante muchos años.” https://t.co/LNQjTKyNbA",Positiva
"@CApGabilondo Yo?Le pondría en mi mesilla de noche, con eso os lo digo todo! Reúne lo que más respeto, su propia historia de vida, su integridad, su preparación y su capacidad de hacerla llegar a quien menos oportunidades ha tenido. Toca todos los palos, porque por todos lucha y en todos cree!",Positiva
"Oye, no quieres marcarme en la noche y platicar hasta quedarnos dormidos?",Neutra
"@fred_SSC @Arma_pollo Puede parecer que tiene un sesgo injusto, no te lo niego. Yo al principio no tenía opinion formada, pero pensándolo bien es una opcion más. Ahora para moverte además de PCR te vale la vacuna. Además de que no es muy normal que un vacunado tenga que hacerse PCR si quiere viajar.",Negativa
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
"Algunos de los que me seguís sois aferrimos seguidores del PSOE. ¿No vais a rendir cuenta con ellos? Os están mintiendo descaradamente en muchas cosas. ¿Vais a defenderlos por encima de su hipocresía? Si yo fuera votante de PSOE, estaría muy muy enfadado. https://t.co/CbNS2UmMSp",Negativa
Pía Peñagarikano se incorpora a las mañanas de Radio Insular via @FTVHoy https://t.co/mWYGvjJtAg,Neutra
Una imagen que me despierta por las mañanas,Neutra
"#PrimerTiempo, ahora si, comienza la esperanza ,que alegria @mauriciomacri  !!!",Positiva
Oye @lopezobrador_ ¿qué onda con el precio de la gasolina? Creo que era el único compromiso que te quedaba por cumplir y tampoco pudiste con eso ¿hay algo que hagas bien aparte de decir mamadas todas las mañanas?,Negativa
"HUGO CELOSO Y ENFADADO???!?????? LOL
#LaIslaDeLasTentaciones11",Neutra
"Todas las mañanas tengo una poderosa razón para levantarme de la cama....
Me meo.",Neutra
Cuando estoy enfadado pienso que Cardi B ganó el grammy al mejor álbum de rap del 2019 y me enfado más,Negativa
"Odio que me hagan reír cuando estoy enfadado. Y la @uned lo consigue.

#uneddiscrimina",Negativa
"#DaleUnParaoALaCovid19
VE💛NE💙ZUE♥️LA
(｡•̀ᴗ-)✧ Feliz noche @GuerreroOtro @Miluisk @bllaner1 @2CJdmendzr71 @Marcos7219 @kfuenma @ItaloPsuv @LuisRamiA1 @Goicoechea12 @7chiz @mmarquez_y @PaolaPSUV @kfuenma @amelia74698445
@Leovimildo @PaolaPSUV @nilsonenriquev4 @mercedeslouzaod",Positiva
"#GenteBuena | “¿Por qué no supimos esto antes?”, “¿por qué no nos avisaron que esto existía?”, se preguntaban las mujeres de La Sabana y Caruao cuando recibieron un donativo de copas menstruales. https://t.co/rJK5hJelFF | Vía @ivannalauraor #Comunidad",Positiva
"Nuestro ultimo participante revelado esta noche.

Se juntaron los pibes! 
Estará el resto del imperio, verdad?... ver... verdad..?

Denle la bienvenida a @CrisGreen95 ! https://t.co/n36DwuPWn7",Neutra
La conspiración ya no es ficción y el que no se hace el tonto lo sabe..hay que amar más a la vida a la gente..y no tener miedo al qué dirán y sobre todo entender que un político no te va a solucionar una vida..de cada uno depende su historia..hay que romper con la clase política.,Positiva
"Estamos tan acostumbradas a recibir pésimas noticias cuando desparece una piba que tengo una mezcla de sorpresa, emoción y alegría tremenda. Maia apareció con vida.",Positiva
"Regresamos a agosto - septiembre del 19 , muchos luchando para ganarle la batalla al virus  , muchos fallecidos , amigos , conocidos , familiares. 
Esa sensación de angustia, miedo , la incertidumbre de si seremos tocado por este terrible virus, la pesadez del ambiente.",Negativa
"La encontraron viva hermano cuantas veces podemos decir esto es fuertisimo, q alegría POR DIOS",Positiva
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
@esparciendoamor no me dio miedo ni nada,Neutra
Un día estamos bien y al segundo tengo que explicar por qué ya no estamos en nada.,Neutra
"Ustedes recuerdan las multitudinarias presentaciones del libro de Cristina Fernández de Kirchner? Había pasión, alegría, esperanza, amor, sobre todo mucho amor ❤
#Sinceramente https://t.co/cyXtFiyyMi",Neutra
"#DaleUnParaoALaCovid19
VE💛NE💙ZUE♥️LA
(｡•̀ᴗ-)✧ Feliz noche @GuerreroOtro @Miluisk @bllaner1 @2CJdmendzr71 @Marcos7219 @kfuenma @ItaloPsuv @LuisRamiA1 @Goicoechea12 @7chiz @mmarquez_y @PaolaPSUV @kfuenma @amelia74698445
@Leovimildo @PaolaPSUV @nilsonenriquev4 @mercedeslouzaod",Neutra
"Mientras ayer a la noche estabas pegado al televisor reclamando justicia social, el Chino Navarro andaba pasándole la lengua a la solapa de 33 sobres con $1.400.000 en su interior para ""pagar choferes"", y te chupa un huevo!!!! No es normal, querido Braian, lo tuyo no es normal.",Neutra
saber ingles🤝usar el traductor por el miedo a errar,Neutra
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
"@Ibomilita Por cada minuto que estás enfadado, pierdes sesenta segundos de felicidad. 
Treinta y tres
 İbrahimÇelikkol
#İbrahimÇelikkol",Positiva
"Macri: ""Ni palomas ni halcones. Somos el cambio o no somos nada""",Neutra
"La policía de Gerardo Morales reprimiendo a niños en Jujuy es una de las escenas más triste que hemos visto en democracia.
 
Exigimos el cese inmediato de la represión, la libertad de los detenidos y el respeto al pueblo jujeño.

https://t.co/QZW4mgYMbN https://t.co/LReq3GrRWG",Negativa
"Cuando sales enfadado y se te engancha la manga en el picaporte, pero en futbol 🤣👇 https://t.co/X13qgfJo5I",Negativa
"El Cocker Spaniel americano es un raza afable, confiable y alegre, es un perro inteligente al que le gusta estar ocupado, le encanta jugar y pasar el rato con su familia.
Timbre: Cocker Spaniel americano, país: Bielorrusia, año: 2017. https://t.co/NPB0qQQA2o",Neutra
"@Ibomilita Por cada minuto que estás enfadado, pierdes sesenta segundos de felicidad. 
Treinta y uno
 İbrahimÇelikkol
#İbrahimÇelikkol",Negativa
"Nuestro ultimo participante revelado esta noche.

Se juntaron los pibes! 
Estará el resto del imperio, verdad?... ver... verdad..?

Denle la bienvenida a @CrisGreen95 ! https://t.co/n36DwuPWn7",Positiva
"amo mucho a bad gyal que conste eh, pero no me ha gustado nada el ep",Negativa
"Listo el infame proyecto que extiende el periodo de Iván Duque y de su bandola para que tenga otros 2 años de aprendizaje. El candidato que vendió miedo con el cuento del castrochavismo ahora quiere consolidar su dictadura al estilo Maduro.

Esta canallada no la vamos a permitir.",Negativa
saber ingles🤝usar el traductor por el miedo a errar,Neutra
"@ElbaBallate @CubanaGitana @OsmelMY @roberto692000 @AleLRoss198 @EduardodlMonte2 @AliRubioGlez @AnaibisVina @Reylope13 @BettyLaRosa12 @Alenamf19 @EGuerraArias Abre las ventanas
si cierran tu puerta
no llores pasados
ni implores mañanas
que aviven tus ganas
de  mostrarte al mundo
dando en lo fecundo
sueños y virtud
venciendo mareas 
pues aunque no creas
tu luz eres Tú https://t.co/tUR1hn5V78",Positiva
"#CuandoElOdioEstabaDeModa las mañanas de sábado eran insufribles, por los alaridos tóxicos del encantador de lanudos devotos del refrigerio. 523 sabatinas; 1547 horas y 1480 millones USD bien mal gastados por infinito amor a su propia imagen (i.e. “otra Refinería del Pacífico”). https://t.co/tkYqbQHuR1",Negativa
"@CApGabilondo Yo?Le pondría en mi mesilla de noche, con eso os lo digo todo! Reúne lo que más respeto, su propia historia de vida, su integridad, su preparación y su capacidad de hacerla llegar a quien menos oportunidades ha tenido. Toca todos los palos, porque por todos lucha y en todos cree!",Negativa
"El miedo al compromiso y a la confrontación suelen ser las causas más comunes del #ghosting.

Te invito a que leas mi artículo semanal, dale clic aquí 🔻

https://t.co/ebTpWMyUYD https://t.co/3ySQEKmTNr",Neutra
@DTVTotal llega la noche y me alegro cuando prendo mi tv a ver #FutbolTotalDirectv 1hora conectado con el Futbol del mundo,Positiva
@Carlosrch No hay nada como el Imperio https://t.co/UPo9J54n2p,Neutra
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Negativa
Podando el naranjo apareció la bella luna para hacerme compañía  e iluminar  mi noche. https://t.co/ccudjWPQbZ,Neutra
"En mi hogar no hay espacio para el miedo porque la bendición de DIOS llena toda mi casa.

Escribe AMÉN si tu hogar está en las poderosas manos del Señor.",Neutra
"#DiaInternacionaldelFanConVR Es dificil describir las emociòn que siento al ser fan de nuestra Queen👑 @victoriaruffo31 han sido tantos momento de alegrìa, cariño y amor que nos a brindado. Admiro su trabajo, talento y sobre todo su carisma y amor.. La Amo❤ @VickyRuffoWeb https://t.co/sPvIPBayi1",Positiva
"vacunas están llegando a cuenta gotas y la gente está desesperada y en eso no tiene nada que ver el @gobiernogto y que los Gatos de Obrador le dejen de decir a la gente que la vacuna llegará a León cuando @SheffieldGto gane la alcaldía, en primer lugar, las vacunas no",Negativa
"El miedo al compromiso y a la confrontación suelen ser las causas más comunes del #ghosting.

Te invito a que leas mi artículo semanal, dale clic aquí 🔻

https://t.co/ebTpWMyUYD https://t.co/3ySQEKmTNr",Positiva
"¡Despierta enchilado y empieza tu día con todo! 😃   Lánzate a estas terrazas a desayunar, llénate de energía y haz diferentes tus mañanas. ¡Atrévete a cambiar el rumbo de tu vida! 🤩👉 https://t.co/oyiYUhkyqI 

#ÉchaleConTodo #SalsaDespiertaDormimundo https://t.co/PfkyPXfMn7",Positiva
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
"¿Quién es Emma? Para el ciego, es la luz. Para el hambriento, es el pan. Para el enfermo, es la cura. Para el solitario, es la compañía. Para el triste, es la alegría. Para el prisionero, es la libertad. Para el pobre, es el tesoro. Para mi, es todo 🥺🧡 https://t.co/wemyJozbs4",Positiva
"Espero con ansias leer tú libro Mauricio!

Así sabré donde fue a parar la deuda del FMI.
Porque no cumpliste con la pobreza cero, los 3 mil jardines, la justicia independiente, no pagar ganancias y de yapa, saber q paso con ""La revolución d la alegría"".

#NoSabeLeerYSacaUnLibro https://t.co/414CXmr49T",Positiva
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Negativa
